1;1;7.35
1;10;7.95
1;20;8.47
1;30;8.87
1;40;9.17
1;50;9.44
1;60;9.75
1;70;10.18
1;80;10.86
1;90;11.9
1;100;13.47
10000;1;7.22
10000;10;7.82
10000;20;8.34
10000;30;8.74
10000;40;9.04
10000;50;9.31
10000;60;9.62
10000;70;10.05
10000;80;10.73
10000;90;11.77
10000;100;13.34
30000;1;7.03
30000;10;7.63
30000;20;8.15
30000;30;8.55
30000;40;8.85
30000;50;9.12
30000;60;9.43
30000;70;9.86
30000;80;10.54
30000;90;11.58
30000;100;13.15
60000;1;6.93
60000;10;7.53
60000;20;8.05
60000;30;8.45
60000;40;8.74
60000;50;9.02
60000;60;9.33
60000;70;9.76
60000;80;10.44
60000;90;11.48
60000;100;13.05
100000;1;7.03
100000;10;7.63
100000;20;8.15
100000;30;8.55
100000;40;8.85
100000;50;9.12
100000;60;9.43
100000;70;9.86
100000;80;10.54
100000;90;11.58
100000;100;13.15
400000;1;9.26
400000;10;9.86
400000;20;10.38
400000;30;10.78
400000;40;11.08
400000;50;11.35
400000;60;11.66
400000;70;12.09
400000;80;12.77
400000;90;13.81
400000;100;15.38
